date,brandSafe,classified_as,sentiment,entities
2022-04-04,False,"[""Social/Showbiz""]",negative,"[{'name': 'Λευκορωσια', 'type': 'LOC'}, {'name': 'Ηλιανα', 'type': 'PERSON'}, {'name': 'Χριστοπουλου', 'type': 'PERSON'}, {'name': 'Καλλιτση', 'type': 'PERSON'}, {'name': 'Ηλιανα Παπαγεωργιου', 'type': 'PERSON'}, {'name': 'Πατρα', 'type': 'LOC'}, {'name': 'Πανος', 'type': 'PERSON'}, {'name': 'Θανος Πλευρης', 'type': 'PERSON'}, {'name': 'Παπαγεωργιου', 'type': 'PERSON'}, {'name': 'Βρετανια', 'type': 'LOC'}, {'name': 'Ελενας Χριστοπουλου', 'type': 'PERSON'}, {'name': 'Καλλιτσης', 'type': 'PERSON'}, {'name': 'Ηλιανας', 'type': 'PERSON'}, {'name': 'Ρωσια', 'type': 'LOC'}, {'name': 'Πανου Καλλιτση', 'type': 'PERSON'}, {'name': 'GNTM', 'type': 'MISC'}, {'name': 'Θριασιο', 'type': 'LOC'}, {'name': 'Ελενα', 'type': 'PERSON'}, {'name': 'Ευρωπαικη Τραπεζα Ανασυγκροτησης', 'type': 'ORG'}, {'name': 'dailymedia.gr', 'type': 'ORG'}]"
2022-04-04,False,"[""Social/Showbiz""]",neutral,"[{'name': 'Λευκορωσια', 'type': 'LOC'}, {'name': 'Κυπελλου Ελλαδας', 'type': 'MISC'}, {'name': 'Λευκορωσος', 'type': 'MISC'}, {'name': 'Μιλωνα', 'type': 'LOC'}, {'name': 'Onsports.gr', 'type': 'ORG'}, {'name': 'Γιωργος Πετρεας', 'type': 'PERSON'}, {'name': 'Κυπελλο', 'type': 'LOC'}, {'name': 'κορονοιο', 'type': 'MISC'}, {'name': 'ΠΑΟΚ', 'type': 'ORG'}, {'name': 'Κυπελλο', 'type': 'MISC'}, {'name': 'Λιγκ Καπ', 'type': 'MISC'}, {'name': 'Παλατακι', 'type': 'LOC'}, {'name': 'Ουντρις', 'type': 'PERSON'}, {'name': 'Ρωσια', 'type': 'LOC'}, {'name': 'Τουρκιας', 'type': 'LOC'}, {'name': 'Ουκρανια', 'type': 'LOC'}, {'name': 'Metropolis 95', 'type': 'ORG'}, {'name': 'Πετρεας', 'type': 'PERSON'}, {'name': 'Γεωργιας', 'type': 'LOC'}, {'name': 'Ολυμπιακο', 'type': 'ORG'}, {'name': 'Αρτουρ Ουντρις', 'type': 'PERSON'}, {'name': 'Ελληνες', 'type': 'MISC'}, {'name': 'Φοινικα Συρου', 'type': 'MISC'}, {'name': 'Ελλαδα', 'type': 'LOC'}, {'name': 'Λουκασενκο', 'type': 'PERSON'}]"
2022-04-04,True,"[""Health/Health_news""]",neutral,"[{'name': 'Πλευρης', 'type': 'PERSON'}, {'name': 'Ζ. Ραπτη', 'type': 'PERSON'}, {'name': 'Δ. Αντωνιου', 'type': 'PERSON'}, {'name': 'Google News', 'type': 'ORG'}, {'name': 'Πρωτοβαθμια Φροντιδα Υγειας', 'type': 'ORG'}, {'name': 'Γ. Κωτσηρας', 'type': 'PERSON'}, {'name': 'ΑΠΕ-ΜΠΕ', 'type': 'ORG'}, {'name': 'Αγιου Ορους', 'type': 'LOC'}, {'name': 'Ταμειο Ανακαμψης', 'type': 'ORG'}, {'name': 'Γενικου Νοσοκομειου Ελευσινας', 'type': 'ORG'}, {'name': 'Εθνικο Συστημα Υγειας', 'type': 'ORG'}, {'name': 'Θανος Πλευρης', 'type': 'PERSON'}, {'name': 'Μεγαρων', 'type': 'LOC'}, {'name': 'Ενοπλων Δυναμεων', 'type': 'ORG'}, {'name': 'Σαλαμινος Κωνσταντινο', 'type': 'PERSON'}, {'name': 'Βουλης των Ελληνων', 'type': 'ORG'}, {'name': 'Μαρτινου', 'type': 'PERSON'}, {'name': 'Χ. Ροιλος', 'type': 'PERSON'}, {'name': 'Αθ. Μαρτινος', 'type': 'PERSON'}, {'name': '2ης ΥΠΕ', 'type': 'ORG'}, {'name': 'Παναγιας της Πορταιτισσας', 'type': 'LOC'}, {'name': 'Μ. Γκαγκα', 'type': 'PERSON'}, {'name': 'ΕΣΥ', 'type': 'ORG'}, {'name': 'ΓΝΕ Θριασιο', 'type': 'ORG'}, {'name': 'Αντωνιου', 'type': 'PERSON'}, {'name': 'Θριασιο', 'type': 'LOC'}, {'name': 'Θ. Πλευρης', 'type': 'PERSON'}, {'name': 'Αθανασιου', 'type': 'PERSON'}, {'name': 'Θ. Μπουρας', 'type': 'PERSON'}, {'name': 'Μαρινας Μαρτινου', 'type': 'PERSON'}, {'name': 'Ελλαδα', 'type': 'LOC'}]"
2022-04-04,True,"[""Culture/Music""]",positive,"[{'name': 'Google News', 'type': 'ORG'}, {'name': 'Panik Oxygen', 'type': 'ORG'}, {'name': 'Θανασης Βασιλοπουλος', 'type': 'PERSON'}, {'name': 'Σταυρο', 'type': 'PERSON'}, {'name': 'YouTube', 'type': 'ORG'}, {'name': 'Μελινα Κανα', 'type': 'PERSON'}, {'name': 'Τα Αντιθετα', 'type': 'MISC'}, {'name': 'Τ’ Ανικητα', 'type': 'MISC'}, {'name': 'Μπαμπη Στοκα', 'type': 'PERSON'}, {'name': 'Σταυρος', 'type': 'PERSON'}, {'name': 'Βασιλη Σκουλα', 'type': 'PERSON'}, {'name': 'Δημητρη Μπαση', 'type': 'PERSON'}, {'name': 'Καθε Μερα', 'type': 'MISC'}, {'name': 'Αργυρω', 'type': 'PERSON'}, {'name': 'Ν’ Αγαπας', 'type': 'MISC'}, {'name': 'Κωστας Κωστοπουλος', 'type': 'PERSON'}, {'name': 'Γιαννη Κοτσιρα', 'type': 'PERSON'}, {'name': 'Alpha', 'type': 'ORG'}, {'name': 'Φως', 'type': 'MISC'}, {'name': 'Πονας', 'type': 'MISC'}, {'name': 'Ελλαδα', 'type': 'LOC'}, {'name': 'Νικου Τερζη', 'type': 'PERSON'}, {'name': 'Παλια Πληγη', 'type': 'MISC'}]"
2022-04-04,True,"[""Home""]",negative,"[{'name': 'Ρωσιας', 'type': 'LOC'}, {'name': 'Ουκρανοι', 'type': 'MISC'}, {'name': 'Αραβικος Συνδεσμος', 'type': 'ORG'}, {'name': 'Αραβες', 'type': 'MISC'}, {'name': 'Μοσχα', 'type': 'LOC'}, {'name': 'Χαρκοβου', 'type': 'LOC'}]"
2022-04-04,True,"[""Astrology""]",neutral,"[{'name': 'Astrology.gr', 'type': 'ORG'}]"
2022-04-04,False,"[""War_Terrorism_Firearms""]",negative,"[{'name': 'Γαλλικο Πρακτορειο', 'type': 'ORG'}, {'name': 'AFP', 'type': 'ORG'}, {'name': 'ΝΑΤΟ', 'type': 'ORG'}, {'name': 'Ρωσιας', 'type': 'LOC'}, {'name': '', 'type': 'LOC'}, {'name': 'Τσερνομπιλ', 'type': 'LOC'}, {'name': 'Νικολα Σκιλατσι', 'type': 'PERSON'}, {'name': 'Ψυχρου Πολεμου', 'type': 'MISC'}, {'name': 'Τζωρτζινας', 'type': 'PERSON'}, {'name': 'Ουκρανια', 'type': 'LOC'}, {'name': 'Ιραν', 'type': 'LOC'}, {'name': 'Γενευη', 'type': 'LOC'}, {'name': 'Κεντρικης Ευρωπης', 'type': 'LOC'}, {'name': 'Ελβετια', 'type': 'LOC'}, {'name': 'Μαρι Κλοντ Νοτ-Εκερ', 'type': 'PERSON'}, {'name': 'Κινα', 'type': 'LOC'}, {'name': 'ΗΠΑ', 'type': 'LOC'}, {'name': 'Πατρας', 'type': 'LOC'}]"
2022-04-04,True,"[""Politics"", ""News""]",neutral,"[{'name': 'Κυπριακο Κοινοβουλιο', 'type': 'ORG'}, {'name': 'Βολοντιμιρ Ζελενσκι', 'type': 'PERSON'}, {'name': 'Ζελενσκι', 'type': 'PERSON'}, {'name': 'Ουκρανια', 'type': 'LOC'}, {'name': 'Ουκρανιας', 'type': 'LOC'}, {'name': 'Βουλης', 'type': 'ORG'}, {'name': 'Κυπριακου Κοινοβουλιου', 'type': 'ORG'}]"
2022-04-04,True,"[""Business""]",neutral,"[{'name': 'Εμπορικου Συλλογου Θεσσαλονικης', 'type': 'ORG'}, {'name': 'Google News', 'type': 'ORG'}, {'name': 'Θεσσαλονικη', 'type': 'LOC'}, {'name': 'Θεσσαλονικης', 'type': 'LOC'}, {'name': 'News247.gr', 'type': 'ORG'}]"
2022-04-04,True,"[""Politics""]",neutral,"[{'name': 'Γιαννης Οικονομου', 'type': 'PERSON'}, {'name': 'Γιαννη Οικονομου', 'type': 'PERSON'}]"
